,country_code,country,type_of_document,date,backend_status,current,version_number,url,comment,annex_type,income_group,region,eu27,ghg_total,ghg_transport,mena,document_path
111,FJI,Fiji,1st NDC,2016-04-22 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/FIJI_iNDC_Final_051115.pdf,,Non-Annex I,Middle-income,Oceania,0,1.360765899,0.6621923229,0,../data/downloaded_documents/7ddd8a133cab37feb57b97bc60f2dc81ae9c3394bd155a09babd5f9396e423e9.pdf
112,FJI,Fiji,LTS,2019-02-25 00:00:00,,x,LTS 1.0,https://unfccc.int/sites/default/files/resource/Fiji_Low%20Emission%20Development%20%20Strategy%202018%20-%202050.pdf,,Non-Annex I,Middle-income,Oceania,0,1.360765899,0.6621923229,0,../data/downloaded_documents/c9781b933bccfcce67eb5eee16928fb315a16d7be179c95df439a1569df2f847.pdf
113,FJI,Fiji,Updated NDC,2020-12-31 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/Republic%20of%20Fiji's%20Updated%20NDC%2020201.pdf,,Non-Annex I,Middle-income,Oceania,0,1.360765899,0.6621923229,0,../data/downloaded_documents/3780e765b1816f3185d31392716c17ab092e239fa2c925c583892f522fcf0db2.pdf
114,GAB,Gabon,1st NDC,2016-11-02 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/20150331%20INDC%20Gabon.pdf,,Non-Annex I,Middle-income,Africa,0,3.484952821,0.84016967,0,../data/downloaded_documents/8473c1fe52d5a4b548d3d75b841e160c98e57e13046af05bff5b7a9c98eeb6f2.pdf
115,GAB,Gabon,Updated NDC,2022-07-06 00:00:00,uploaded,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-07/20220706_Gabon_Updated%20NDC.pdf,,Non-Annex I,Middle-income,Africa,0,3.484952821,0.84016967,0,../data/downloaded_documents/cecd45d7e4d8a0dbc58f9389f4ac81b49a13f6b0658ce7376e30465c3b9641cc.pdf
116,GMB,Gambia (Republic of The),1st NDC,2016-11-07 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/The%20INDC%20OF%20THE%20GAMBIA.pdf,,Non-Annex I,Low-income,Africa,0,0.5924554086,0.2907321993,0,../data/downloaded_documents/4265079903c444df9c9f95bfb16b00dab826490ff6850e833c0e1c7c3c988902.pdf
117,GEO,Georgia,1st NDC,2017-05-08 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_of_Georgia.pdf,,Non-Annex I,Middle-income,Asia,0,13.47372284,3.877449675,0,../data/downloaded_documents/168a7127ead6546b510d08863e4f7f96cb900ab3c3b121524354315820a0aafe.pdf
118,GEO,Georgia,Updated NDC,2021-05-05 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20Georgia_ENG%20WEB-approved.pdf,,Non-Annex I,Middle-income,Asia,0,13.47372284,3.877449675,0,../data/downloaded_documents/390d9cc7c30e73f1bff14af7fbb1e2f49acfbb3536585a8cf48fd15e6c291d02.pdf
119,DEU,Germany,LTS,2016-11-17 00:00:00,,x,LTS 1.0,https://unfccc.int/sites/default/files/resource/Klimaschutzplan_2050_eng_bf.pdf,,Annex I,High-income,Europe,EU27,702.5999621,152.6054777,0,../data/downloaded_documents/74e088b9d7e68bd7de9ade15a555d4cfcb3c21463863feaa2e2ed109427707a9.pdf
120,GHA,Ghana,1st NDC,2016-09-21 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/GH_INDC_2392015.pdf,,Non-Annex I,Middle-income,Africa,0,16.837459,8.575976,0,../data/downloaded_documents/9fd966efa2ad167bd1a305c93de120640f0b6ca30981cea7f9722df2acefcdce.pdf
